family,store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
LINGERIE,40,Machala,El Oro,C,3,16,32,0.5990675396123464,0.563755999565213,0.03531154004713333,0.041061089971417775,2.304213803109864e-05,0.0011255324742415569,0.0005611672278338945,0.0005611672278338945,False,0.0,10.5625,5.486432666154185,-5.076067333845815,0.0
HOME AND KITCHEN I,15,Ibarra,Imbabura,C,15,16,32,0.5317527260092688,0.4916449721586438,0.04010775385062504,0.04104618296941495,2.30337727101094e-05,0.0008868004478863444,0.0005611672278338945,0.0005611672278338945,False,0.0,12.0625,14.83231815297627,2.7698181529762698,0.9375
CLEANING,15,Ibarra,Imbabura,C,15,16,32,0.24788465782308503,0.1438613461610388,0.10402331166204623,0.04075071666480172,2.2867966703031267e-05,0.00019271066496476114,0.0005611672278338945,0.0005611672278338945,False,0.0,964.1875,938.4781285473515,-25.709371452648547,20.4375
EGGS,23,Ambato,Tungurahua,D,9,16,32,0.24257202694909524,0.13617240018942806,0.10639962675966719,0.04029826568484285,2.261406604087702e-05,0.0001845388833129324,0.0005611672278338945,0.0005611672278338945,False,0.0,48.1875,53.460261061318064,5.272761061318063,1.875
SCHOOL AND OFFICE SUPPLIES,14,Riobamba,Chimborazo,C,7,16,32,0.35367963904211125,0.2912074045828646,0.062472234459246656,0.040287534589069904,2.2608044101610497e-05,0.0003923074641110855,0.0005611672278338945,0.0005611672278338945,False,0.4375,3.125,2.7605747063977795,-0.3644252936022206,1.5
HARDWARE,19,Guaranda,Bolivar,C,15,16,32,0.5803589628776569,0.544715813102283,0.03564314977537386,0.04010120874874823,2.250348414632336e-05,0.0010563305635219278,0.0005611672278338945,0.0005611672278338945,False,0.25,1.5625,0.9218825230218424,-0.6406174769781576,0.0
BEAUTY,38,Loja,Loja,D,4,16,32,0.43460376038649895,0.38579372590537625,0.0488100344811227,0.040043629594132796,2.2471172611746798e-05,0.0005923704873171304,0.0005611672278338945,0.0005611672278338945,False,0.0,8.3125,7.67065018291512,-0.6418498170848806,1.375
PLAYERS AND ELECTRONICS,22,Puyo,Pastaza,C,7,16,32,0.5521729975513582,0.5147586110572753,0.03741438649408291,0.03991859156723698,2.2401005368819855e-05,0.0009562177114530886,0.0005611672278338945,0.0005611672278338945,False,0.0,6.8125,4.713301491921132,-2.0991985080788678,0.0
PLAYERS AND ELECTRONICS,6,Quito,Pichincha,D,13,16,32,0.3709976413607656,0.3126884861247514,0.058309155236014154,0.0398651605402624,2.2371021627532213e-05,0.00043166690251471664,0.0005611672278338945,0.0005611672278338945,False,0.0,15.6875,14.846942315341353,-0.840557684658647,0.0
CLEANING,22,Puyo,Pastaza,C,7,16,32,0.3389338300894324,0.27392706390359456,0.06500676618583784,0.03984010484024823,2.2356961189813822e-05,0.0003602767965777245,0.0005611672278338945,0.0005611672278338945,False,0.0,819.0,737.6702115929739,-81.32978840702606,18.8125
HOME CARE,48,Quito,Pichincha,A,14,16,32,0.29324366470578916,0.2154457094273566,0.07779795527843256,0.039574993179424305,2.220818921404282e-05,0.0002696893089493787,0.0005611672278338945,0.0005611672278338945,False,0.0,605.25,737.729720700752,132.47972070075195,7.625
GROCERY I,38,Loja,Loja,D,4,16,32,0.22431653847605618,0.10421374848543741,0.12010278999061877,0.03945740406049398,2.214220205414926e-05,0.0001578080098726868,0.0005611672278338945,0.0005611672278338945,False,0.0,3614.6875,4172.3429446708,557.6554446708001,39.875
BEVERAGES,4,Quito,Pichincha,D,9,16,32,0.2163297927201461,0.08594706161860795,0.13038273110153814,0.03941168181746859,2.2116544229780355e-05,0.0001467706177463554,0.0005611672278338945,0.0005611672278338945,False,0.0,2380.875,2822.285941590426,441.41094159042586,11.4375
MAGAZINES,29,Guayaquil,Guayas,E,10,16,32,0.5365509599937839,0.49865637822365244,0.03789458177013144,0.039228749127120766,2.201388839905767e-05,0.0009028766183687084,0.0005611672278338945,0.0005611672278338945,False,0.25,1.5,1.284464351541693,-0.21553564845830706,0.0
LINGERIE,10,Quito,Pichincha,C,15,16,32,0.6273555691447649,0.5954745115830897,0.03188105756167514,0.03898511619183248,2.1877169580152906e-05,0.0012343376301622647,0.0005611672278338945,0.0005611672278338945,False,0.1875,2.0,0.9710819610052569,-1.028918038994743,0.0
BEVERAGES,5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,16,32,0.24290884347268993,0.14169568261206045,0.10121316086062948,0.038927039766342014,2.184457899345792e-05,0.0001850517115910179,0.0005611672278338945,0.0005611672278338945,False,0.0,1845.8125,2171.0043044803174,325.1918044803176,12.4375
GROCERY I,42,Cuenca,Azuay,D,2,16,32,0.214404229471824,0.08400505726718308,0.13039917220464092,0.038912323968943854,2.183632097022663e-05,0.0001441694197027763,0.0005611672278338945,0.0005611672278338945,False,0.0,2995.0625,3390.9002299344993,395.8377299344995,37.5625
"LIQUOR,WINE,BEER",53,Manta,Manabi,D,13,16,32,0.40151069803427675,0.3498787569800704,0.05163194105420632,0.03879569605005301,2.1770873204294618e-05,0.0005055925855603246,0.0005611672278338945,0.0005611672278338945,False,0.0,99.25,81.89242824070796,-17.357571759292043,3.6875
"LIQUOR,WINE,BEER",47,Quito,Pichincha,A,14,16,32,0.2925468527088318,0.2166562836355299,0.07589056907330188,0.038643715791083735,2.1685586863683355e-05,0.0002684091484858954,0.0005611672278338945,0.0005611672278338945,False,0.0,217.875,222.19005762550853,4.315057625508526,6.125
CLEANING,27,Daule,Guayas,D,1,16,32,0.23467038721770178,0.12848224666079014,0.10618814055691164,0.038562502929901966,2.164001286750952e-05,0.00017271220695564375,0.0005611672278338945,0.0005611672278338945,False,0.0,857.8125,1013.3527305739226,155.5402305739226,9.8125
BEAUTY,49,Quito,Pichincha,A,11,16,32,0.360893116869656,0.3028233312441667,0.05806978562548931,0.038541871858080876,2.1628435386128436e-05,0.0004084732792854601,0.0005611672278338945,0.0005611672278338945,False,0.0,13.5625,11.088129220988126,-2.474370779011873,1.4375
MEATS,21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,16,32,0.2530697406369595,0.15989569318781968,0.09317404744913979,0.038477660926044564,2.159240231540099e-05,0.00020085696394264683,0.0005611672278338945,0.0005611672278338945,False,0.0,123.2823128125,121.37816589415075,-1.904146918349249,2.4375
